v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,v_x/msec,v_y/msec,v/msec,aX/msec,aY/msec,a/msec,Mode
0.796875,0.79683876,1.126925808,0.796875,0.79683876,1.126925808,210.9511719,21.08507729,12.0999999,0.062746063,0.06274321,0.088734316,0.062746063,0.06274321,0.088734316,pen
0.796813965,0.796854019,1.126893439,-6.10352E-05,1.52588E-05,-3.23687E-05,211.7479858,21.8819313,24.5,0.062741257,0.062744411,0.088731767,-4.80592E-06,1.20148E-06,-2.54872E-06,pen
3.984283447,3.187400818,5.102356177,3.187469482,2.390546799,3.975462739,215.7322693,25.06933212,16.80000007,0.313723108,0.250976444,0.401760331,0.25098185,0.188232032,0.313028564,pen
2.390594482,3.187419891,3.984292603,-1.593688965,1.90735E-05,-1.118063575,218.1228638,28.25675201,13.89999998,0.188235787,0.250977946,0.313723829,-0.125487321,1.50185E-06,-0.088036502,pen
0,0,0,0,0,0,206.9668884,52.16230011,11.69999993,0,0,0,0,0,0,pen
0,0.796836853,0.796836853,0,0.796836853,0.796836853,206.9668884,52.95913696,12.20000005,0,0.06274306,0.06274306,0,0.06274306,0.06274306,pen
0.796875,0,0.796875,0.796875,-0.796836853,3.8147E-05,207.7637634,52.95913696,12,0.062746063,0,0.062746063,0.062746063,-0.06274306,3.0037E-06,pen
1.593719482,1.593708038,2.253851614,0.796844482,1.593708038,1.456976614,209.3574829,54.552845,25.39999998,0.125489724,0.125488823,0.177468632,0.06274366,0.125488823,0.114722569,pen
3.18737793,3.984256744,5.102321028,1.593658447,2.390548706,2.848469413,212.5448608,58.53710175,14.70000005,0.250974642,0.313721005,0.401757564,0.125484918,0.188232183,0.224288931,pen
2.390594482,3.187408447,3.984283447,-0.796783447,-0.796848297,-1.118037581,214.9354553,61.72451019,16.0999999,0.188235787,0.250977045,0.313723108,-0.062738854,-0.062743961,-0.088034456,pen
2.390533447,5.577964783,6.068635866,-6.10352E-05,2.390556335,2.084352419,217.3259888,67.30247498,21.4000001,0.188230981,0.439209828,0.477845347,-4.80592E-06,0.188232783,0.164122239,pen
0,4.781112671,4.781112671,-2.390533447,-0.796852112,-1.287523196,217.3259888,72.08358765,31.89999998,0,0.376465567,0.376465567,-0.188230981,-0.062744261,-0.10137978,pen
-3.984283447,7.171653748,8.204092397,-3.984283447,2.390541077,3.422979726,213.3417053,79.25524139,13.39999998,-0.313723108,0.564697149,0.645991531,-0.313723108,0.188231582,0.269525964,pen
-11.15591431,6.374809265,12.84883719,-7.171630859,-0.796844482,4.644744795,202.185791,85.63005066,13.89999998,-0.878418454,0.501953488,1.01171947,-0.564695346,-0.06274366,0.365727939,pen
0,0,0,0,0,0,174.29599,66.50561523,11.19999993,0,0,0,0,0,0,pen
0,0,0,0,0,0,174.29599,66.50561523,11.70000005,0,0,0,0,0,0,pen
0,0,0,0,0,0,174.29599,66.50561523,11,0,0,0,0,0,0,pen
0,0.796859741,0.796859741,0,0.796859741,0.796859741,174.29599,67.30247498,11.19999993,0,0.062744862,0.062744862,0,0.062744862,0.062744862,pen
1.593719482,2.390541077,2.873086916,1.593719482,1.593681335,2.076227175,175.8897095,69.69301605,17.80000007,0.125489724,0.188231582,0.226227318,0.125489724,0.12548672,0.163482456,pen
0.796875,3.984260559,4.063168956,-0.796844482,1.593719482,1.19008204,176.6865845,73.67727661,17.29999995,0.062746063,0.313721306,0.319934565,-0.06274366,0.125489724,0.093707248,pen
2.39050293,5.577964783,6.068623845,1.59362793,1.593704224,2.005454889,179.0770874,79.25524139,13.20000005,0.188228578,0.439209828,0.4778444,0.125482515,0.125488522,0.157909835,pen
1.593719482,4.7811203,5.039747326,-0.796783447,-0.796844482,-1.028876519,180.6708069,84.03636169,20.19999993,0.125489724,0.376466167,0.3968305,-0.062738854,-0.06274366,-0.0810139,pen
0,0,0,0,0,0,245.2157898,56.94339752,11.39999998,0,0,0,0,0,0,pen
0,0,0,0,0,0,245.2157898,56.94339752,11.60000002,0,0,0,0,0,0,pen
0,0.796852112,0.796852112,0,0.796852112,0.796852112,245.2157898,57.74024963,14.89999998,0,0.062744261,0.062744261,0,0.062744261,0.062744261,pen
0,0.796852112,0.796852112,0,0,0,245.2157898,58.53710175,12.4000001,0,0.062744261,0.062744261,0,0,0,pen
0,2.390556335,2.390556335,0,1.593704224,1.593704224,245.2157898,60.92765808,13.5999999,0,0.188232783,0.188232783,0,0.125488522,0.125488522,pen
0,6.374816895,6.374816895,0,3.984260559,3.984260559,245.2157898,67.30247498,15.60000002,0,0.501954089,0.501954089,0,0.313721306,0.313721306,pen
