pressure0,interval,v0_x,v0_y,v0,aX,aY,a,pos_x,pos_y,msec,Mode
0.4140625,95.89999998,0,-0.334777832,0.334777832,0,-0.334777832,0.334777832,131.8287964,422.2336426,13.5,pen
0.67578125,104.9000001,-0.334747314,0,0.334747314,-0.334747314,0,0.334747314,143.8817444,417.5463867,12.70000005,pen
0.604492188,183.9000001,0,0,0,0,0,0,162.9655151,404.823822,11.20000005,pen
0.359375,72.39999998,-0.33480835,0,0.33480835,-0.33480835,0,0.33480835,165.6439514,418.5507813,10.89999998,pen
0.78515625,631.2,0.33480835,0.334838867,0.473512088,0.33480835,0.334838867,0.473512088,184.7277832,407.16745,12,pen
0.66015625,109.8,0,0,0,0,0,0,188.4106445,404.1542053,11,pen
0.477539063,82.30000007,0,0,0,0,0,0,197.1155396,401.8105469,10.89999998,pen
0.590820313,117.1,0.334838867,0,0.334838867,0.334838867,0,0.334838867,182.0493774,421.5640259,12.39999998,pen
0.58203125,79.70000005,-0.334838867,0,0.334838867,-0.334838867,0,0.334838867,188.7454224,423.9076843,11,pen
0.577148438,90.70000005,0,0.334747314,0.334747314,0,0.334747314,0.334747314,199.7939453,424.2424316,14.5,pen
0.568359375,196.3,-0.334838867,0,0.334838867,-0.334838867,0,0.334838867,216.8689575,402.8150024,11.30000007,pen
0.59765625,100.4,0.334777832,0,0.334777832,0.334777832,0,0.334777832,208.1640625,417.2115784,12.5999999,pen
0.5234375,106.1999999,0,0.334838867,0.334838867,0,0.334838867,0.334838867,213.1861267,410.8503113,11.10000002,pen
0.336914063,82.10000002,-1.004394531,0.33480835,1.058728013,-1.004394531,0.33480835,1.058728013,212.1817322,419.8899841,12.10000002,pen
0.192382813,56.39999998,0.33480835,0,0.33480835,0.33480835,0,0.33480835,212.1817322,421.2292175,10.89999998,pen
0.44140625,129.1,-0.33480835,0,0.33480835,-0.33480835,0,0.33480835,223.565033,409.8459167,10.5999999,pen
0.48828125,88.29999995,-0.33480835,-0.33480835,0.473490509,-0.33480835,-0.33480835,0.473490509,223.565033,413.1939087,12.69999993,pen
0.67578125,223.2,0,0.33480835,0.33480835,0,0.33480835,0.33480835,247.0013123,398.4625549,11.20000005,pen
0.686523438,140.9,0,0,0,0,0,0,234.6135559,402.8150024,11.39999998,pen
0.5078125,89.69999993,-0.334777832,0.334777832,0.47344735,-0.334777832,0.334777832,0.47344735,254.3670349,400.8061523,13.70000005,pen
0.296875,124,0,0.334777832,0.334777832,0,0.334777832,0.334777832,232.6047668,408.5066528,12.39999998,pen
0.764648438,107.4,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,233.2743835,413.528717,11.19999993,pen
0.383789063,122.5999999,0,0,0,0,0,0,238.966095,414.1983337,11.39999998,pen
0.493164063,81.10000002,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,240.3052673,414.5331116,11.19999993,pen
0.42578125,86.29999995,-0.334777832,0,0.334777832,-0.334777832,0,0.334777832,242.6488953,422.9032288,14.69999993,pen
0.446289063,87,0,0,0,0,0,0,244.3229065,421.2292175,11.10000002,pen
0.383789063,2304.3,0,0.334869385,0.334869385,0,0.334869385,0.334869385,61.5199585,474.4631042,12,pen
0.481445313,135.2,0,0.334838867,0.334838867,0,0.334838867,0.334838867,69.5552063,462.4101257,12.20000005,pen
0.537109375,99.30000007,0.33480835,0,0.33480835,0.33480835,0,0.33480835,67.88119507,474.7978516,12.89999998,pen
0.287109375,125.9,-0.33480835,0,0.33480835,-0.33480835,0,0.33480835,87.63461304,460.0664673,10.70000005,pen
0.517578125,108,0,0,0,0,0,0,84.95623779,478.4806824,11,pen
0.7265625,74.19999993,0,0,0,0,0,0,77.25570679,486.8507996,11.10000002,pen
0.37890625,73.10000002,0.334777832,0,0.334777832,0.334777832,0,0.334777832,92.3218689,483.5027466,11.60000002,pen
0.698242188,161.1999999,-0.334777832,0,0.334777832,-0.334777832,0,0.334777832,95.33514404,456.3836365,11.5,pen
0.467773438,91.10000002,-0.33480835,0,0.33480835,-0.33480835,0,0.33480835,92.99151611,466.7625427,12,pen
0.530273438,110.1,0,0,0,0,0,0,99.68756104,477.14151,11.80000007,pen
0.642578125,88.89999998,-0.33480835,0.33480835,0.473490509,-0.33480835,0.33480835,0.473490509,105.7140503,475.1326599,15.60000002,pen
0.6171875,1021.8,0,-0.334747314,0.334747314,0,-0.334747314,0.334747314,128.4807739,453.3704224,13.20000005,pen
0.465820313,66.30000007,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,122.4542542,455.3792114,13,pen
0.541992188,96.5,-0.334838867,0,0.334838867,-0.334838867,0,0.334838867,123.1238403,468.1017761,13.79999995,pen
0.3125,74.30000007,-0.669616699,0,0.669616699,-0.669616699,0,0.669616699,125.1326904,474.4631042,11,pen
0.5859375,163,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,130.489563,455.3792114,13,pen
0.392578125,52.60000002,0,-0.334838867,0.334838867,0,-0.334838867,0.334838867,131.4939575,465.7581482,10.89999998,pen
0.65625,123,0,0,0,0,0,0,134.5071716,469.7757874,11.29999995,pen
0.512695313,65.29999995,-0.33480835,-0.334747314,0.473447352,-0.33480835,-0.334747314,0.473447352,137.5204163,476.4718933,11.10000002,pen
0.575195313,85.79999995,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,138.190033,483.8375549,11.70000005,pen
0.4375,149.4000001,-0.33480835,0.33480835,0.473490509,-0.33480835,0.33480835,0.473490509,147.2297363,483.1679688,13.10000002,pen
0.559570313,83.70000005,0.334838867,0,0.334838867,0.334838867,0,0.334838867,151.5822144,484.8420105,11.10000002,pen
0.233398438,3024.8,0,0.33480835,0.33480835,0,0.33480835,0.33480835,167.9876099,460.0664673,13.5999999,pen
0.512695313,180.1,0,0,0,0,0,0,171.3356323,479.8199158,10.89999998,pen
0.287109375,5319,0.334869385,0,0.334869385,0.334869385,0,0.334869385,187.40625,464.4189453,11.29999995,pen
0.3046875,158.4,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,186.0669861,473.4586487,11.19999993,pen
0.39453125,132.8,0,0.33480835,0.33480835,0,0.33480835,0.33480835,183.3885803,468.4365845,12.89999998,pen
0.178710938,111.6,-0.33480835,0,0.33480835,-0.33480835,0,0.33480835,189.7498474,480.8243103,11.30000007,pen
0.408203125,93.20000005,0,0,0,0,0,0,194.4371033,475.4674988,12.10000002,pen
0.6796875,158.8,0.334838867,0,0.334838867,0.334838867,0,0.334838867,217.2037964,457.7228699,11.10000002,pen
0.561523438,96.89999998,0,0,0,0,0,0,214.5253296,467.4321899,11.10000002,pen
0.412109375,79,0,0,0,0,0,0,223.8998413,467.7669983,11.19999993,pen
0.561523438,124.7,0,0.334777832,0.334777832,0,0.334777832,0.334777832,219.5474243,477.4762878,13.89999998,pen
0.586914063,73.9000001,-0.334747314,0,0.334747314,-0.334747314,0,0.334747314,219.8822327,486.1812134,13.20000005,pen
0.5703125,217.5,0,0.669616699,0.669616699,0,0.669616699,0.669616699,245.9969177,451.3615723,11.10000002,pen
0.649414063,132.1,0,0.334838867,0.334838867,0,0.334838867,0.334838867,237.9616394,457.7228699,11.10000002,pen
0.499023438,86.20000005,0,0.334747314,0.334747314,0,0.334747314,0.334747314,258.3846741,457.0532227,11.30000007,pen
0.4765625,116.1999999,0,0,0,0,0,0,235.6179504,465.7581482,11.69999993,pen
0.5546875,121.9,0,0,0,0,0,0,239.9704895,467.0973816,10.5999999,pen
